Satisfaction Score,Online Security,Contract,Senior Citizen,Number of Referrals,Dependents,Tenure in Months,Internet Service,Paperless Billing,Total Extra Data Charges,Payment Method,Referred a Friend,Streaming Music,Streaming Movies,Monthly Charge,Total Revenue,Device Protection Plan
3,1,1,0,10,0,64,1,1,0,1,1,1,1,96.9,7531.06,0
3,0,0,0,0,0,1,1,1,0,2,0,0,0,45.7,51.25,0
2,0,0,0,0,0,1,1,0,0,0,0,0,0,69.7,91.22,0
3,1,1,0,0,0,39,1,0,0,0,0,0,0,45.05,1790.6,0
1,0,0,1,0,0,5,1,0,0,0,0,0,0,50.35,330.7,1
3,0,2,0,5,1,10,0,0,0,1,1,0,0,19.85,353.6,0
3,0,1,0,0,0,48,0,0,0,2,0,0,0,19.95,1377.8200000000002,0
5,0,2,0,0,0,48,0,0,0,1,0,0,0,20.15,2599.59,0
3,1,1,0,0,0,17,1,0,0,1,0,0,0,56.1,1566.94,0
3,0,2,0,8,0,72,0,0,0,0,1,0,0,19.4,2423.09,0
4,0,0,0,0,0,9,1,1,0,0,0,1,1,94.05,951.42,1
3,0,0,0,1,0,12,1,1,0,0,1,0,0,51.25,1174.66,0
3,0,0,1,8,0,22,1,1,0,0,1,1,1,89.75,2431.26,0
4,0,2,0,7,0,72,1,1,70,0,1,1,1,110.15,8994.0,1
4,0,0,0,8,0,71,1,1,90,0,1,1,1,93.25,8645.21,1
3,0,0,0,0,0,1,0,1,0,1,0,0,0,20.05,23.28,0
5,0,2,0,8,1,71,0,0,0,1,1,0,0,19.7,2356.16,0
5,0,0,0,6,1,28,1,0,0,1,1,0,0,49.9,2569.73,0
3,0,0,0,0,0,18,1,0,0,0,0,0,0,84.3,1578.5800000000002,0
4,1,0,0,0,0,60,1,1,0,0,0,1,1,104.95,7609.55,1
3,0,0,0,4,0,4,1,1,0,0,1,1,1,97.95,424.42,0
3,1,2,0,0,0,53,1,0,0,1,0,1,1,99.5,7733.46,1
2,0,0,0,0,0,1,0,0,0,0,0,0,0,19.95,37.56,0
3,0,1,0,0,1,30,0,0,0,0,0,0,0,25.35,851.4,0
3,0,2,0,1,0,65,0,1,0,1,1,0,0,20.4,2939.3500000000004,0
2,0,0,0,1,0,7,1,0,0,0,1,0,0,48.7,376.15999999999997,1
5,0,0,0,0,0,38,1,1,140,0,0,1,1,103.65,5038.6,1
3,1,0,0,10,0,44,1,1,0,1,1,0,0,95.1,5500.23,1
5,0,2,1,0,0,49,1,0,0,1,0,0,0,43.8,3832.4500000000003,0
1,0,0,1,0,0,1,1,1,20,2,0,0,0,25.8,45.8,0
3,0,0,0,0,0,1,1,1,0,1,0,0,0,45.4,94.72999999999999,0
3,0,0,0,0,1,1,0,0,0,1,0,0,0,19.25,32.06,0
3,0,0,0,4,0,18,1,1,0,1,1,0,0,50.3,1556.03,0
3,1,0,0,0,0,15,1,1,0,0,0,1,1,99.7,1718.55,0
4,0,2,0,0,1,32,0,0,0,1,0,0,0,20.5,1238.88,0
3,0,0,0,1,0,24,1,1,0,1,1,0,0,75.4,2173.37,0
3,0,0,0,0,0,15,1,1,0,0,0,0,0,79.75,1754.2999999999997,0
3,0,2,0,0,0,65,1,1,0,1,0,1,1,74.2,6250.599999999999,1
1,0,0,1,5,0,38,1,1,0,0,1,0,0,74.95,3469.49,0
